id,publication_year,cited_by_count,authors
https://openalex.org/W2788090147,2018,26,"['https://openalex.org/A5056228425', 'https://openalex.org/A5033639139', 'https://openalex.org/A5091272738']"
https://openalex.org/W3099109645,2017,26,"['https://openalex.org/A5080267104', 'https://openalex.org/A5052717630']"
https://openalex.org/W2966341301,2019,24,"['https://openalex.org/A5081236916', 'https://openalex.org/A5061606325', 'https://openalex.org/A5034057987', 'https://openalex.org/A5048877432', 'https://openalex.org/A5013727792']"
https://openalex.org/W3024746983,2020,21,"['https://openalex.org/A5069579180', 'https://openalex.org/A5028327260', 'https://openalex.org/A5020744129', 'https://openalex.org/A5031799782']"
https://openalex.org/W3111457521,2020,19,"['https://openalex.org/A5054043838', 'https://openalex.org/A5028327260', 'https://openalex.org/A5004892784', 'https://openalex.org/A5045705124', 'https://openalex.org/A5023796355', 'https://openalex.org/A5076653924', 'https://openalex.org/A5086453253']"
https://openalex.org/W1968095346,2007,40,"['https://openalex.org/A5049079205', 'https://openalex.org/A5048877432', 'https://openalex.org/A5026022014', 'https://openalex.org/A5054906154', 'https://openalex.org/A5030305033', 'https://openalex.org/A5032052125', 'https://openalex.org/A5007138994']"
https://openalex.org/W1994556425,2007,39,"['https://openalex.org/A5071165387', 'https://openalex.org/A5037695214']"
https://openalex.org/W2146910990,2011,31,"['https://openalex.org/A5082391569', 'https://openalex.org/A5048877432', 'https://openalex.org/A5089971631', 'https://openalex.org/A5027171279', 'https://openalex.org/A5030305033']"
https://openalex.org/W2133763257,2012,29,"['https://openalex.org/A5071165387', 'https://openalex.org/A5014088619']"
https://openalex.org/W1999633305,2013,28,"['https://openalex.org/A5047724274', 'https://openalex.org/A5048877432', 'https://openalex.org/A5030305033', 'https://openalex.org/A5067118505']"
https://openalex.org/W2018016175,2012,28,"['https://openalex.org/A5033639139', 'https://openalex.org/A5085451600', 'https://openalex.org/A5029105520']"
