actor,community,degree
Scott Adkins,0,20
Scott Adsit,10,7
Scott Baio,10,1
Scott Bakula,18,1
Scott Caan,14,1
Scott Eastwood,14,12
Scott Foley,8,1
Scott Glenn,1460,0
Scott Grimes,7,3
Scott MacArthur,0,11
Scott MacDonald,1461,0
Scott McCord,1462,0
Scott Michael Campbell,18,1
Scott Porter,11,2
Scott Speedman,48,4
Sean Astin,10,28
Sean Bean,48,7
Sean Brosnan,1463,0
Sean Connery,0,22
Sean Harris,4,10
Sean Hayes,11,19
Sean Murray,1464,0
Sean O'Bryan,4,7
Sean Penn,11,12
Sean S. Cunningham,18,10
Sean Young,18,13
Seann William Scott,48,19
Sebastian Croft,16,1
Sebastian Roché,14,3
Sebastian Stan,7,72
Sela Ward,1465,0
Selena Gomez,11,33
Selim Bayraktar,1466,0
Selma Blair,22,5
Senta Berger,41,1
Seo Hye-won,1467,0
Seo Hyun-jin,1468,0
Seo In-guk,1469,0
Seo Ji-hye,168,1
Seo Won-I,32,2
Seol In-a,1470,0
Serena Grandi,1471,0
Serena Scott Thomas,1472,0
Serenay Sarıkaya,1473,0
Sergi López,41,3
Serinda Swan,15,1
Serkan Çayoğlu,1474,0
Seth Gabel,37,2
Seth Gilliam,1475,0
Seth Green,7,76
Seth MacFarlane,10,26
Seth Rogen,11,79
Seung Ha,32,4
Seychelle Gabriel,18,1
Shah Rukh Khan,3,14
Shailene Woodley,4,19
Shalom Brune-Franklin,1476,0
Shalom Harlow,1477,0
Shameik Moore,11,10
Shane McRae,4,1
Shane West,1478,0
Shannen Doherty,1479,0
Shannon Chan-Kent,10,9
Shannon Kook,14,2
Shannon Lucio,1480,0
Shannon Whirry,1481,0
Shannyn Sossamon,1482,0
Shantel VanSanten,1483,0
Shaquille O'Neal,11,25
Shari Shattuck,1484,0
Sharib Hashmi,3,2
Sharlto Copley,18,4
Sharon Duncan-Brewster,1485,0
Sharon Leal,10,1
Sharon Small,1486,0
Sharon Stone,0,25
Shaun Benson,8,1
Shaun Dingwall,16,1
Shaun Dooley,16,1
Shauna O'Brien,1487,0
Shaunette Renée Wilson,8,9
Shawn Ashmore,1488,0
Shawn Hatosy,1489,0
Shawn Levy,22,2
Shawn Wayans,1490,0
Shawnee Smith,18,3
Shazad Latif,16,2
Shea Whigham,14,41
Sheila McCarthy,4,2
Shelley Duvall,1491,0
Shelley Hennig,1492,0
Shemar Moore,10,13
Sheree J. Wilson,1493,1
Sherilyn Fenn,0,3
Shia LaBeouf,0,16
Shin Dong-mi,168,1
Shin Eun-soo,1494,0
Shin Hye-sun,1495,0
Shin Hyun-been,1496,0
Shin Se-kyung,168,1
Shin-ichiro Miki,33,78
Shinji Higuchi,1497,0
Shinpachi Tsuji,33,5
Shioli Kutsuna,4,21
Shiri Appleby,1498,0
Shirley Henderson,16,25
Shirley MacLaine,1499,0
Shizuka Itoh,33,50
Shohreh Aghdashloo,40,1
Show Kasamatsu,1500,0
Showtaro Morikubo,33,55
Shruti Haasan,3,3
Shu Qi,5,5
Shun Oguri,42,20
Shun Sugata,42,5
Shunsuke Sakuya,33,12
Shuya Sophia Cai,0,2
Sid Haig,18,24
Sidharth Malhotra,3,1
Sidney Poitier,0,14
Sidse Babett Knudsen,0,1
Sienna Guillory,15,2
Sienna Miller,7,7
Sigourney Weaver,0,39
Silas Weir Mitchell,1501,0
Simon Baker,1502,0
Simon Callow,0,7
Simon Helberg,16,5
Simon Pegg,16,65
Simon Rex,48,1
Simon Verhoeven,1503,0
Simon Yam,5,19
Simona Tabasco,41,1
Simone Baldasseroni,1504,0
Simone Susinna,130,2
Simu Liu,7,1
Sinbad,11,8
Sinéad Cusack,16,2
Siobhan Hewlett,1505,0
Sirena Gulamgaus,1506,0
Sissy Spacek,0,5
Skai Jackson,10,8
Skandar Keynes,1507,0
Skeet Ulrich,8,11
Skye McCole Bartusiak,1508,0
Skylar Astin,11,7
Skyler Gisondo,48,11
Snoop Dogg,11,62
So Joo-yeon,1509,0
Sobhita Dhulipala,3,5
Sofia Black-D'Elia,1510,0
Sofia Boutella,14,25
Sofia Carson,10,7
Sofia Helin,1511,0
Sofia Kappel,1512,0
Sofia Milos,1513,0
Sofia Vassilieva,1514,0
Sofía Vergara,11,20
Soichiro Hoshi,33,27
Solène Rigot,1515,0
Soma Saito,33,28
Son Suk-ku,1516,0
Son Ye-jin,1517,0
Sondra Locke,1518,0
Song Geon-hee,1519,0
Song Ha-yoon,1520,0
Song Hye-kyo,5,3
Song Ji-hyo,1521,0
Song Joong-ki,168,2
Song Kang,1522,0
Song Kang-ho,168,7
Song Seung-heon,168,1
Sonny Chiba,1523,0
Sonoya Mizuno,16,3
Sonya Walger,1524,0
Sophia Bush,1525,0
Sophia Lillis,4,10
Sophia Loren,0,8
Sophia Myles,1526,0
Sophia di Martino,7,3
Sophie Charlotte,16,1
Sophie Cookson,16,10
Sophie Marceau,1527,0
Sophie Monk,1528,0
Sophie Okonedo,14,2
Sophie Rundle,1529,0
Sophie Turner,4,9
Sophie Vavasseur,1530,0
Sophie Winkleman,1531,0
Sora Amamiya,33,32
Sosie Bacon,1532,0
Spence Moore II,1533,0
Spencer Grammer,1534,0
Spencer Locke,1535,0
Spencer Treat Clark,1536,0
Spike Jonze,14,15
Spike Lee,0,8
Stacy Edwards,1537,0
Stacy Keach,11,13
Stacy Keibler,14,1
Stan Lee,7,142
Stana Katic,18,10
Stanley Tucci,8,65
Starletta DuPois,1538,0
Staz Nair,14,9
Stefanie Martini,1539,0
Stefanie Powers,1540,0
Stefanie Scott,8,1
Stefanie von Pfetten,15,5
Stella Stevens,1541,0
Stellan Skarsgård,7,51
Stepfanie Kramer,1542,0
Stephanie Arcila,1543,0
Stephanie Beatriz,11,17
Stephanie Erb,1544,0
Stephanie Hsu,11,1
Stephanie Leonidas,1545,0
Stephanie Nur,1546,0
Stephanie Sigman,0,2
Stephanie Zimbalist,1547,0
Stephen Amell,11,1
Stephen Baldwin,18,4
Stephen Campbell Moore,16,8
Stephen Dorff,11,7
Stephen Fry,16,34
Stephen Graham,0,19
Stephen Hawking,16,8
Stephen King,4,10
Stephen Kramer Glickman,11,3
Stephen Lang,0,17
Stephen Macht,1548,0
Stephen McHattie,4,12
Stephen McKinley Henderson,4,7
Stephen Merchant,11,24
Stephen Root,10,56
Stephen Tobolowsky,10,10
Stephen Ure,0,9
Sterling K. Brown,11,8
Steve Buscemi,11,59
Steve Byers,1549,0
Steve Carell,11,62
Steve Coogan,11,38
Steve Ditko,1550,0
Steve Guttenberg,18,2
Steve Harris,1551,0
Steve Howey,1552,0
Steve Martin,11,30
Steve Talley,1553,0
Steve Zahn,22,14
Steven Berkoff,16,10
Steven Brand,1554,0
Steven Culp,1331,1
Steven Mackintosh,16,3
Steven Ogg,1555,0
Steven R. McQueen,1556,0
Steven Seagal,15,12
Steven Spielberg,0,93
Steven Strait,1557,0
Steven Weber,10,9
Steven Yeun,7,13
Stockard Channing,1558,0
Storm Reid,4,2
Struan Rodger,1559,0
Stéphane Audran,1560,0
Suhas,1561,0
Sumi Shimamoto,33,14
Sumire Morohoshi,33,52
Sumire Uesaka,33,29
Summer Bishil,1562,0
Summer Glau,1563,0
Summer H. Howell,40,3
Sun Li,5,2
Sundar C,1564,0
Sung Dong-il,168,16
Sung Kang,14,22
Suniel Shetty,3,4
Sunny Deol,3,2
Sunny Sandler,11,37
Sunny Suljic,11,1
Supaporn Malisorn,1565,0
Suraj Venjaramoodu,3,3
Suranne Jones,16,1
Susan Buckner,1566,0
Susan Lynch,16,1
Susan May Pratt,1567,0
Susan Sarandon,11,34
Susan Walters,4,1
Susannah Harker,1568,0
Susie Abromeit,18,1
Susie Porter,48,1
Suzanna Hamilton,1569,0
Suzanne Cryer,1570,0
Suzy Nakamura,1571,0
Svenja Jung,41,1
Swann Arlaud,41,5
Sybil Azur,1572,0
Sybil Danning,18,5
Sydne Rome,1573,0
Sydney Penny,1574,0
Sydney Sweeney,0,2
Sylta Fee Wegmann,1575,0
Sylvester Groth,41,2
Sylvester Stallone,0,67
Sylvia Chang,5,2
Sylvia Hoeks,1576,0
Sylvia Kristel,1577,1
Synnøve Karlsen,1578,0
Synnøve Macody Lund,1579,0
Sônia Braga,7,1
Søren Malling,8,3
T.I.,7,12
T.J. Miller,11,48
T.J. Thyne,1580,0
Tabitha St. Germain,10,8
Tadanobu Asano,7,29
Tae Kimura,42,7
Taegen Burns,1581,0
Taiga Nakano,42,12
Taika Waititi,7,41
Taissa Farmiga,14,9
Tak Sakaguchi,42,2
Takahiro Sakurai,33,80
Takaya Kuroda,33,15
Takayuki Yamada,42,13
Takehiro Hira,42,3
Takehito Koyasu,33,70
Takeo Otsuka,33,3
Takeru Satoh,42,15
Takeshi Kaneshiro,5,3
Takumi Kitamura,42,7
Takuya Eguchi,33,21
Takuya Kimura,42,1
Talia Balsam,1582,0
Talia Ryder,11,1
Talia Shire,0,10
Taliah Webster,1583,0
Talulah Riley,1584,0
Tamala Jones,14,1
Tamlyn Tomita,1585,0
Tammin Sursok,10,1
Tammy Lauren,1586,0
Tammy Townsend,1587,0
Tamsin Greig,16,3
Tamzin Malleson,1588,0
Tan Songyun,1589,0
Tanaya Beatty,15,5
Tang Yan,1590,1
Tania Raymonde,18,4
Tanit Phoenix,18,15
Tanner Buchanan,4,1
Tao Tsuchiya,42,10
Tara Reid,18,14
Tara Strong,10,120
Taraji P. Henson,11,30
Taron Egerton,16,21
Tasuku Hatanaka,33,15
Tasya Teles,1591,0
Tate Donovan,0,2
Tate Taylor,11,3
Tati Gabrielle,1592,0
Tatiana Maslany,7,4
Tatsuya Fujiwara,42,8
Tatsuya Nakadai,42,1
Tawny Cypress,1593,0
Tawny Kitaen,1577,1
Taylor Cole,15,1
Taylor James,16,4
Taylor John Smith,1594,0
Taylor Kinney,7,1
Taylor Kitsch,11,2
Taylor Lautner,40,32
Taylor Russell,4,5
Taylor Sheridan,1595,0
Taylor Zakhar Perez,4,3
Ted Danson,11,7
Ted Levine,1596,0
Ted McGinley,18,3
Temuera Morrison,14,9
Teo Yoo,168,3
Teodora Duhovnikova,1597,0
Teoman Kumbaracıbaşı,1598,0
Terence Hill,1599,0
Terence Maynard,0,1
Terence Stamp,16,1
Teresa Ganzel,10,4
Teresa Palmer,0,9
Teri Garr,1600,0
Teri Hatcher,11,8
Teri Polo,0,5
Terrence Howard,4,10
Terry Crews,0,49
Terry O'Quinn,1601,0
Terry Pratchett,1602,0
Terry Serpico,1603,0
Terunosuke Takezai,1604,0
Teryl Rothery,15,11
Tess Harper,0,8
Tessa Thompson,7,41
Tessyo Genda,33,26
Tetchie Agbayani,1605,0
Tetsuya Kakihara,33,22
Texas Battle,0,1
Thandiwe Newton,11,7
The 8,1606,0
Thea Sofie Loch Næss,1607,0
Thekla Reuten,1608,0
Theo James,4,18
Theo Rossi,41,6
Theresa Randle,1609,0
Theresa Russell,1610,0
Thierry Lhermitte,41,4
Thomas Brodie-Sangster,10,23
Thomas F. Wilson,10,10
Thomas Haden Church,7,28
Thomas Jane,0,11
Thomas Kretschmann,7,19
Thomas Lennon,10,47
Thomas M. Wright,1611,0
Thomas Wilson Brown,1612,0
Thomasin McKenzie,7,3
Thora Birch,11,1
Thorsten Merten,41,4
Tia Carrere,10,5
Tiffani Thiessen,1613,0
Tiffany Haddish,11,52
Tiffany Hines,1614,0
Tiffany Hsu,1615,0
Tika Sumpter,11,5
Til Schweiger,41,14
Tilda Cobham-Hervey,1616,0
Tilda Swinton,0,50
Tim Allen,0,20
Tim Blake Nelson,0,21
Tim Burton,4,12
Tim Curry,10,3
Tim Daly,10,1
Tim DeKay,1617,0
Tim Matheson,15,5
Tim McGraw,11,2
Tim Pigott-Smith,16,2
Tim Robbins,4,8
Tim Roth,0,19
Tim Seyfi,1618,0
Timothy Busfield,0,1
Timothy Dalton,0,19
Timothy Hutton,1619,0
Timothy Olyphant,41,5
Timothy Omundson,18,7
Timothy Spall,16,51
Timothée Chalamet,7,19
Tina Desai,16,4
Tina Fey,11,59
Tina Louise,1620,0
Tina Majorino,1621,0
Tini Stoessel,1622,0
Tinto Brass,0,1
Tippi Hedren,1623,0
Tisca Chopra,3,1
Titus Makin Jr.,1624,0
Titus Welliver,11,19
Tobey Maguire,7,27
Tobias Menzies,16,3
Tobias Santelmann,7,1
Tobin Bell,18,4
Toby Jones,8,74
Toby Regbo,40,1
Toby Stephens,16,1
Todd Bridges,18,2
Todd Giebenhain,1625,0
Todd Lasance,1626,0
Tolgahan Sayışman,1627,0
Tom Berenger,18,10
Tom Blyth,1628,0
Tom Burke,16,3
Tom Cavanagh,15,2
Tom Courtenay,7,3
Tom Cruise,0,39
Tom DeLonge,1629,0
Tom Ellis,1630,0
Tom Everett,1631,0
Tom Felton,16,33
Tom Goodman-Hill,1632,0
Tom Hanks,0,102
Tom Hardy,4,36
Tom Hiddleston,7,88
Tom Holland,7,64
Tom Hollander,16,12
Tom Hughes,16,5
Tom Hulce,0,1
Tom Kane,10,37
Tom Kenny,10,81
Tom Pelphrey,1633,0
Tom Segura,11,2
Tom Selleck,4,11
Tom Shadyac,1634,0
Tom Skerritt,18,1
Tom Welling,1635,0
Tom Wilkinson,16,17
Tom Wisdom,16,1
Tom Wlaschiha,14,2
Tomas Arana,4,2
Tomer Capone,1636,0
Tommy Chong,14,13
Tommy Flanagan,0,3
Tommy Lee Jones,0,16
Tommy Lister Jr.,18,12
Tomoaki Maeno,33,24
Tomokazu Seki,33,82
Tomokazu Sugita,33,60
Tomomichi Nishimura,33,4
Toni Collette,11,11
Tony Curtis,0,10
Tony Dalton,1637,0
Tony Goldwyn,4,13
Tony Hale,11,41
Tony Ho,5,12
Tony Jaa,5,11
Tony Leung Chiu-wai,5,6
Tony Leung Ka-fai,5,16
Tony Liu,1638,0
Tony Scott,1639,0
Tony Shalhoub,0,15
Tony Todd,10,35
Topher Grace,4,22
Tori Matsuzaka,42,15
Torrey DeVitto,1640,0
Toru Furuya,33,33
Toshio Tsuchiya,1641,0
Toshiyuki Morikawa,33,79
Tracey Ullman,0,6
Tracey Walter,1642,0
Traci Bingham,1643,0
Traci Dinwiddie,1644,0
Tracy Morgan,11,33
Tracy Nelson,18,3
Travis Fimmel,7,2
Travis Turner,1645,0
Traylor Howard,1646,0
Treat Williams,15,4
Tress MacNeille,10,26
Trevor Laird,1647,0
Trey Parker,1648,0
Tricia Helfer,1649,0
Trieste Kelly Dunn,10,2
Trine Dyrholm,8,3
Trini Alvarado,1650,0
Trisha Krishnan,3,5
Tristin Mays,1651,0
Tristán Ulloa,1652,0
Troian Bellisario,1653,0
Troy Evans,10,1
Tse Miu,1654,0
Tsui Hark,5,3
Tuba Büyüküstün,1655,0
Tuva Novotny,4,3
Ty Simpkins,7,14
Tye Sheridan,4,26
Tyler Hoechlin,0,5
Tyler Hynes,15,4
Tyler Perry,8,5
Tyne Daly,10,2
Tyrese Gibson,14,27
Tzi Ma,5,1
Téa Leoni,1656,0
Udo Kier,7,15
Ulrich Thomsen,8,2
Uma Thurman,0,23
Unsho Ishizuka,33,54
Uriah Shelton,1657,0
Ursula Andress,41,1
Utkarsh Ambudkar,11,13
Uwe Ochsenknecht,41,3
Vaishnavi Chaitanya,1658,0
Val Kilmer,18,10
Valentina Cervi,41,2
Valeria Golino,41,3
Valerie Bertinelli,4,3
Valerie Leon,1659,0
Valorie Curry,40,1
Valérie Lemercier,41,1
Vanessa Ferlito,1660,0
Vanessa Hudgens,4,8
Vanessa Kirby,16,8
Vanessa Marano,1661,0
Vanessa Ray,16,1
Vanessa Redgrave,0,9
Vanessa Scalera,16,1
Vanessa Williams,10,3
Veanne Cox,1662,0
Vegar Hoel,14,4
Vera Farmiga,14,13
Vernee Watson-Johnson,1663,0
Veronica Cartwright,1664,0
Vica Kerekes,1665,0
Vicky Krieps,41,11
Victor Banerjee,1666,0
Victor Garber,0,10
Victor Webster,10,6
Victoria Hill,1667,0
Victoria Justice,11,1
Victoria Pedretti,1668,0
Victoria Pratt,18,3
Victoria Rowell,1669,0
Victoria Tennant,1670,0
Victoria Trauttmansdorff,41,3
Viggo Mortensen,40,2
Vijay Raaz,3,5
Vin Diesel,7,83
Vince Vaughn,11,15
Vincent Cassel,41,16
Vincent D'Onofrio,18,15
Vincent Klyn,1671,0
Vincent Regan,16,7
Vinessa Shaw,22,3
Vinette Robinson,16,1
Ving Rhames,18,32
Vinnie Jones,18,18
Viola Davis,4,30
Violett Beane,1672,0
Virginia Gardner,324,1
Virginia Madsen,18,2
Virginie Efira,41,9
Virginie Ledoyen,1673,0
Vivian Sung,1674,0
Vivian Wu,1675,0
Vivica A. Fox,18,25
Vondie Curtis-Hall,0,3
Wagner Moura,16,2
Waise Lee Chi-Hung,5,9
Wallace Langham,8,4
Wallace Shawn,0,25
Wally Wingert,10,19
Walter Koenig,10,18
Walton Goggins,0,22
Wamiqa Gabbi,1676,0
Wang Churan,1677,0
Wang Likun,1678,0
Wang Yibo,1590,1
Warren Beatty,0,6
Warwick Davis,16,53
Wataru Takagi,33,48
Wayne Brady,10,12
Wayne Duvall,4,4
Wayne Knight,10,3
Wayne Newton,1679,0
Wendi McLendon-Covey,10,17
Wendie Malick,15,6
Wendy Crewson,4,2
Wendy Hoopes,1680,0
Wendy Raquel Robinson,1681,0
Wentworth Miller,1682,0
Wenwen Han,1683,0
Werner Herzog,0,9
Weronika Książkiewicz,1684,0
Wes Anderson,0,28
Wes Bentley,8,22
Wes Brown,10,5
Wes Studi,4,2
Wesley Snipes,0,13
Whoopi Goldberg,11,55
Wil Wheaton,10,14
Wilford Brimley,1685,0
Will Arnett,11,66
Will Ferrell,11,100
Will Forte,11,82
Will Friedle,10,16
Will Patton,22,5
Will Peltz,1048,1
Will Poulter,7,17
Will Smith,11,28
Will Yun Lee,11,7
Willa Fitzgerald,1686,0
Willa Holland,1687,0
Willem Dafoe,0,82
William Baldwin,18,8
William Chan Wai-Ting,5,3
William Devane,4,10
William Fichtner,0,6
William Friedkin,0,10
William H. Macy,48,1
William Houston,14,2
William Hurt,7,45
William Mapother,1688,0
William Sadler,4,10
William Shatner,10,21
William Shockley,1493,1
William Smith,1689,0
William Zabka,1360,1
Willow Shields,8,27
Willow Smith,11,3
Wilmer Valderrama,10,9
Wim Wenders,0,13
Winona Ryder,10,10
Wiz Khalifa,11,1
Woo Do-hwan,168,2
Woody Allen,0,48
Woody Harrelson,8,63
Wu Jing,5,13
Wyatt Russell,7,15
Xander Berkeley,0,7
Xavier de Guzman,1690,0
Xiao Shunyao,1691,0
Xiao Zhan,1692,0
Xochitl Gomez,7,10
Xolo Mariduena,1693,0
Xu Jiao,5,3
Xu Kai,1694,1
Yahya Abdul-Mateen II,14,11
Yancy Butler,0,6
Yang Kyung-won,1695,0
Yang Mi,5,1
Yang Yang,1696,0
Yang Zi,1697,0
Yanina Studilina,1698,0
Yannick Bisson,15,4
Yeo Jin-goo,168,4
Yeom Hye-ran,168,11
Yoh Yoshida,42,6
Yoji Tanaka,42,6
Yoko Asagami,33,4
Yoko Hikasa,33,61
Yoko Shimada,1699,0
Yoko Soumi,33,7
Yoo Ah-in,168,4
Yoo Hai-jin,168,23
Yoo In-na,168,1
Yoo In-soo,1700,0
Yoo Jae-myung,168,13
Yoo Ji-tae,168,1
Yoo Seung-mok,168,10
Yoo Yeon-seok,168,10
Yoon Bo-ra,1701,0
Yoon Chan-young,1702,0
Yoon Park,1703,0
Yoona,168,4
Yorgos Lanthimos,1704,0
Yorick van Wageningen,4,3
Yoshimasa Hosoya,33,61
Yosuke Eguchi,42,9
Yu Hewei,5,1
Yu Kobayashi,33,41
Yu Rongguang,11,2
Yuen Biao,5,2
Yuen Qiu,5,6
Yuen Wah,5,9
Yui Aragaki,42,2
Yui Ishikawa,33,24
Yui Ogura,33,10
Yuichi Nakamura,33,78
Yuji Ueda,33,23
Yuka Kouri,1705,0
Yuki Amami,42,5
Yuki Kaji,33,82
Yuki Yamada,42,22
Yuko Miyamura,33,16
Yuliya Snigir,122,1
Yuma Ishigaki,33,2
Yuma Uchida,33,18
Yume Miyamoto,33,7
Yumi Kakazu,33,13
Yumiko Kobayashi,33,13
Yumiri Hanamori,33,10
Yun Yoo-sun,1706,0
Yuna Taira,33,1
Yurika Hino,1707,0
Yuriko Ishida,42,2
Yusra Warsama,1708,0
Yuu Hayashi,33,12
Yuuki Takada,1709,0
Yuuya Uchida,33,6
Yuvasri Lakshmi,1710,0
Yvan Attal,41,3
Yvonne Strahovski,0,2
Yvonne Zima,7,1
Zac Efron,11,22
Zach Galifianakis,11,44
Zach Gilford,22,1
Zach Roerig,1711,0
Zachary Gordon,22,15
Zachary Levi,7,37
Zachary Quinto,16,18
Zack Pearlman,1712,0
Zack Snyder,14,13
Zahia Dehar,1713,0
Zahn McClarnon,18,3
Zane Holtz,16,1
Zarina Wahab,3,1
Zazie Beetz,4,22
Zeeko Zaki,1714,0
Zeljko Ivanek,8,6
Zendaya,7,35
Zeng Li,1715,0
Zenobia Shroff,1716,0
Zhang Jingchu,5,2
Zhang Jingyi,1717,0
Zhang Ruonan,1718,0
Zhang Tian'ai,1719,0
Zhang Ziyi,5,8
Zhao Liying,5,1
Zhao Lusi,1694,1
Zhao Wei,5,1
Zhong Chuxi,1720,0
Zhou Yiwei,1721,0
Zhou Yutong,1722,0
Zinedine Soualem,41,2
Zita Hanrot,41,2
Zoe Boyle,1723,0
Zoe Colletti,4,1
Zoe Lister-Jones,1724,0
Zoe Perry,1725,0
Zoe Saldaña,7,90
Zoe Terakes,1726,0
Zoey Deutch,11,12
Zooey Deschanel,11,8
Zoë Kravitz,4,37
Zoë Wanamaker,16,2
Zulay Henao,11,4
Zuleikha Robinson,1727,0
Zuria Vega,22,1
Çağatay Ulusoy,1728,0
Özge Gürel,1729,0
Özlem Conker,1730,0
Öznur Serçeler,1731,0
Úrsula Corberó,1732,0
İbrahim Çelikkol,1733,0
İrem Helvacıoğlu,27,0
