Author,Community,Degree
https://openalex.org/A5067304057,6,10
https://openalex.org/A5052239782,0,13
https://openalex.org/A5049616013,0,13
https://openalex.org/A5033380277,6,6
https://openalex.org/A5082383440,6,6
https://openalex.org/A5023340968,0,10
https://openalex.org/A5049590315,6,7
https://openalex.org/A5068008545,31,11
https://openalex.org/A5041856505,12,6
https://openalex.org/A5038537105,6,10
https://openalex.org/A5076808323,42,6
https://openalex.org/A5071855834,3,3
https://openalex.org/A5080198182,6,6
https://openalex.org/A5038460177,6,6
https://openalex.org/A5044664261,0,10
https://openalex.org/A5031364854,18,2
https://openalex.org/A5032880722,6,8
https://openalex.org/A5046051310,6,8
https://openalex.org/A5035394657,6,10
https://openalex.org/A5007936316,16,7
https://openalex.org/A5034130966,4,2
https://openalex.org/A5065662769,42,2
https://openalex.org/A5066967114,42,2
https://openalex.org/A5006476089,6,16
https://openalex.org/A5087494046,5,1
https://openalex.org/A5054780837,6,10
https://openalex.org/A5022760252,6,7
https://openalex.org/A5062610763,17,5
https://openalex.org/A5045253843,0,10
https://openalex.org/A5021838428,78,5
https://openalex.org/A5020478086,78,6
https://openalex.org/A5002323911,78,5
https://openalex.org/A5079577398,4,4
https://openalex.org/A5008869618,6,7
https://openalex.org/A5050724302,0,10
https://openalex.org/A5080912825,27,6
https://openalex.org/A5071210464,78,5
https://openalex.org/A5013616968,12,2
https://openalex.org/A5020235155,9,6
https://openalex.org/A5054913386,44,14
https://openalex.org/A5009266404,57,20
https://openalex.org/A5025783817,57,5
https://openalex.org/A5077516931,79,2
https://openalex.org/A5073073131,30,9
https://openalex.org/A5022994404,79,2
https://openalex.org/A5066657882,6,6
https://openalex.org/A5003166598,6,5
https://openalex.org/A5064152560,30,10
https://openalex.org/A5017335487,42,8
https://openalex.org/A5011662746,57,8
https://openalex.org/A5028991721,6,5
https://openalex.org/A5025243022,42,8
https://openalex.org/A5006712471,78,5
https://openalex.org/A5077084954,9,3
https://openalex.org/A5030223469,9,2
https://openalex.org/A5003272847,6,5
https://openalex.org/A5013925237,5,3
https://openalex.org/A5005491067,6,12
https://openalex.org/A5061863972,6,9
https://openalex.org/A5078371872,6,3
https://openalex.org/A5086526909,8,11
https://openalex.org/A5005560058,42,10
https://openalex.org/A5086213684,6,6
https://openalex.org/A5077743516,30,11
https://openalex.org/A5051810580,6,8
https://openalex.org/A5078376859,2,5
https://openalex.org/A5063360427,30,15
https://openalex.org/A5005806296,30,8
https://openalex.org/A5032619332,5,1
https://openalex.org/A5011833099,3,7
https://openalex.org/A5073872497,3,8
https://openalex.org/A5044400361,6,8
https://openalex.org/A5071609742,6,8
https://openalex.org/A5001731766,77,5
https://openalex.org/A5083150788,6,5
https://openalex.org/A5025123237,5,3
https://openalex.org/A5007914848,9,7
https://openalex.org/A5063532655,5,3
https://openalex.org/A5082416184,6,8
https://openalex.org/A5086221076,9,2
https://openalex.org/A5077718412,6,9
https://openalex.org/A5007778843,77,5
https://openalex.org/A5083750568,6,9
