name
Maddalena Conte
Kenjiro Inoue
Federico Delussu
Jaehong Ahn
Segun Aroyehun
Pietro Alessandro Aluffi
Calvin Yixiang Cheng
Kangsan Lee
Chico Q Camargo
Isabella Loaiza
Ali Salloum
Janet B. Pierrehumbert
Robert West
Daniela Paolotti
Matteo Magnani
Hriday Chheda
Christopher Bail
Vladimir Filkov
Rupert Kiddle
Jason Burton
Mohammad Atari
Andreia Sofia Teixeira
Andrew Lippman
Frank Pijpers
Kristian Peter Lorenzen
Amy Munz
Licia Capra
Micah Epstein
Sawa Yoshioka
Emmeke Aarts
Samuel Fraiberger
Kobi Hackenburg
Christopher I Jarvis
George Gyamfi
Pantelis P Analytis
Karim Lasri
Tom Lenaerts
Philipp Kessling
Justyna Czestochowska
Hao Cui
Daniel Larremore
Zhuojian Wei
Martin Gerlach
Eiji Aramaki
Manuel Vimercati
Darya Zare
Denny Borsboom
Lena Mangold
János Kertész
Clemens M. Lechner
Marios Constantinides
Erkan Gunes
Fujio Toriumi
Antonio Longa
Kishore Vasan
Kongmeng Liew
Sydney DeMets
Edward Lee
salvatore Citraro
Yuan Zhang
Adrienne Mendrik
Daniele Gambetta
Michael Inzlicht
Valeria D'Andrea
Anna Sapienza
Galen Stocking
Erick Elejalde
Amin Mekacher
Neil Fasching
Oriol Artime
Milena Tsvetkova
Alexander J Gates
Giulia De Pasquale
Woo-Sung Jung
Thomas Talhelm
Mariano Sigman
Pedro Ramaciotti Morales
Miquel Montero
Gordon Pennycook
Kasper Welbers
Yizhou Fan
Qiusi Sun
Xiaodan Lou
Pablo Moral
Homa Hosseinmardi
Anna Bertani
Aliaksandr Herasimenka
Shotaro Ishihara
Emoke-Agnes Horvat
Suyash Fulay
Brian Uzzi
Anjali Bhatt
Ronaldo Menezes
Matteo Cinelli
Louisa Jane Di Felice
Indira Sen
Léo Meynent
Andreas Bjerre-Nielsen
Masanori Hirano
Marie-Laure Charpignon
Damian Serwata
Hikaru Asano
Marjolijn Das
Yiyan Zhang
Gwyneth Sutherlin
Michael Quayle
Ashley Muddiman
Reid McIlroy-Young
Guy Zyskind
Sky CH-Wang
Seong-Min Jun
Jiani Yan
Gabriele Etta
Mihai Burzo
Ibrahim Farouq
Daniel Valdenegro
Keeley Erhardt
Koustuv Saha
Akira Matsui
Lisa Merten
Xiajie Zhang
Laura Maria Alessandretti
Paola Tubaro
Astrid Gühnemann
Mahasweta Chakraborti
Nicolò Pagan
Daniel A. McFarland
Lea Biere
Brooke Foucault Welles
Cesar Augusto Marin
Leonardo Rosado
Philippe Beutels
Hal Ashton
Mareike Wieland
Ramesh Jagannathan
Artem Kuriksha
Huma Rasheed
Vasanth Sarathy
Xiao Zhang
Junsol Kim
Shuntaro Yada
Paul C. Bauer
Jisu Kim
Toshiharu Sugawara
Frauke Kreuter
Yaniv Altshuler
Haoning Xue
Saumya Tripathi
Taekho You
Neeley Pate
Akira Tsurushima
Elohim Fonseca dos Reis
Valentina Semenova
Michael T Schaub
Corrado Monti
Michele Tizzoni
Julia Szamely
Sho Tsugawa
Brendan O'Connor
Sukankana Chakraborty
Fabio Giglietto
Aymeric Luneau
Alejandro Hermida Carrillo
Piotr Sapiezynski
Friedrich Götz
Roberto Mavilia
Eugenio Valdano
Federico Barrera Lemarchand
Vera Rocha
Munjung Kim
Ryan Whalen
Jakob Schlierf
Jonathan St-Onge
Rossano Schifanella
Lisette Espin-Noboa
Johannes Ross
Jaehyuk Park
Roberto Ulloa
Francisco Barreras
Alejandro Beltran
Ourania Kolokotroni
Alberto Amaduzzi
Renaud Lambiotte
Sharath Chandra Guntuku
Zoe Rahwan
Yelena Mejova
Arianna Pera
Mohammadhadi Aliahmadi
Xindi Wang
Manuel Garcia-Herranz
Anna Rogers
Paulina Pankowska
Pablo Andres Astudillo
Albert-Laszlo Barabasi
Sam Zhang
Nanyun Peng
Li Zhang
Beatrice Rammstedt
Uttama Barua
Jason C Coronel
Alessandro Flamini
Xinwei Xu
Andrea Passerini
Wen Hao HE
Luisa Carrer
Jinseo Park
Jennifer Pan
Julia Koltai
Kevin Sparks
Ana Maria Jaramillo
Arun Frey
Robin Delabays
Laetitia Gauvin
Silke Adam
Yoshi Meke Bird
Bao Tran Truong
Kiyoshi Izumi
Sanja Šćepanović
Ming-Hung Wang
Inga Trauthig
Genki Ichinose
Alessandro De Gaetano
Beatrice Bonami
Cassandra Overney
Vera Sosnovik
Hendrik Meyer
Marton Karsai
Nalette Brodnax
Sarah Ita Levitan
Valentin Pauli
Sharon Kang
Ebru Sanliturk
Thomas Louf
Balazs Vedres
Luis M Rocha
Zoltan Kmetty
Julian Berger
Jason Rentfrow
Marco Agnolon
Tom Kemeny
Xinran Wang
Damiano Morando
Hongshan Jin
Daniel Romero
Takahiro Miura
Anastassia Vybornova
Beverly Laher
Qianru Meng
Alexandra Florea
Bennard Doornbos
Giulio Rossetti
Ted Hsuan Yun Chen
Nicolò Alessandro Girardini
Melanie Oyarzun
Yuwen Yu
Rishabh Kaushal
Andrés Gvirtz
Hui Wang
Iñaki Ucar
Xiaohui WANG
Ryan Louis Stevens
Vsevolod Suschevskiy
Francesco Bonchi
Lorin Crawford
Fons Rademakers
Duilio Balsamo
Duncan J Watts
Susan Vermeer
Connor Cantrell
Lyle Ungar
Qing Ke
Ryota Kobayashi
Kat Albrecht
Ryan Cotterell
Hiroki Takikawa
Zachary Pangan
Alessio Vincenzo Cardillo
Julian Polenz
Alex Pentland
Lucio La Cava
Molly Crockett
Zilin Lin
Josep Perelló
John Bryden
Katinka Den Nijs
Trevor James Swanson
Gabriela Juncosa
Amy Selby
Thomas Franz Müller
Vincent Lariviere
Peidong Mei
Bin Wang
Tim Althoff
Daniel Torren Peraire
Kristina Aleksandrovna Pedersen
Fosca Giannotti
Blas Kolic
Wan Jou She
Yuru Li
Dorian Quelle
Scott A Hale
Masaru Kitsuregawa
Frank Schweitzer
Attila Varga
Jason Hiigh Thompson
Michał‚ Czuba
Nicola Pedreschi
Nicholas A Christakis
Claire Glanois
Leslie DeChurch
Andrea Baronchelli
Camille Landesvatter
Somya Tomar
Leo Ferres
Anne C. Kroon
Suman Maity
Dennis Assenmacher
Michael Macy
Salvatore Giorgi
Likun Cao
Ronald E. Robertson
Szymon Talaga
Toshiya Saito
Francesco Tudisco
James Evans
Yunkyu Sohn
David Sanchez
Adam Stefkovics
Martin Ardvisson
Barbara Keller
Sonja M Schmer-Galunder
Frank Pantano
